name,va,color,image,Name,VA,Catchphrase,Birthday,Height,Weight,Profile
,,,,Maruzensky,Lynn,"The track's like a dance floor, and I'm feelin' groovy today!",May 19,164cm,Totally tubular!,"A dashing Umamusume with a sisterly demeanor and a retro way of speaking. She is a speed demon who adores the pure joy of the wind in her face. On the road, her hot rod is the one burning rubber, but in a race, it's her own two feet tearing up the track. Despite her tremendous power, she isn't pompous, and is well-liked by everyone.
"
,,,,Mayano Top Gun,Mio Hoshitani,"When inspiration strikes, Maya takes flight! Copy that! ☆",Mar 24,143cm,No change,"A rambunctious young genius of an Umamusume who seeks affection from everyone she meets. Having a pilot for a father, Mayano Top Gun often mixes aviation lingo into her speech. Her tendency to obsess over whatever new and exciting thing is in front of her betrays how far she is from becoming the mature, sophisticated lady of her dreams. However, she does possess incredible intuition and an almost supernatural sense of the right thing to do in any situation."
,,,,Mejiro McQueen,Saori Onishi,I'll bring honor and glory to the Mejiro family!,Apr 3,159cm,Slight increase (making frantic adjustments!),"Born into a family of racing legends, Mejiro McQueen is a long-distance runner who is the envy of her peers. She has class and decorum befitting her prestige, and is determined to take first at the Tenno Sho like many Mejiro racers before her. On her days off, she enjoys having afternoon tea with the many other residents of the Mejiro estate."
,,,,Mejiro Ryan,Afumi Hashi,No problems pecs can't solve! Let's get swole together!,Apr 11,163cm,A bit bulkier from muscle growth,"A sporty girl who loves a good workout. Although born into the prestigious Mejiro family, her animated personality somewhat betrays that fact. She has something of an inferiority complex surrounding her childhood friend, Mejiro McQueen, and wishes to be as fast and pretty as her. Though physically strong, her heart is rather delicate."
,,,,Mihono Bourbon,Ikumi Hasegawa,Target acquired. Commencing Operation: Triple Crown.,Apr 25,160cm,No change,"An Umamusume also known as the ""Cyborg."" She views the world through the lens of programming and databases, carrying out her objectives in an expressionless and robotic manner. Even so, she is not an emotionless machine—her constant training since her youth has simply resulted in less interactions with people, leading to her current personality. Underneath that robotic shell, she does indeed have feelings."
,,,,Nice Nature,Kaori Maeda,"Yup, I'm happy with a third place finish—it's all an extra like me can ask for.",Apr 16,157cm,No change,"An Umamusume of humble background with a penchant for being pessimistic. She tends to think of herself as a supporting character, and this causes her to shy away from high expectations—this sometimes leads to imperfect performances. She has quite the knack for cooking and cleaning due to her working-class upbringing, and does so whenever she has time. She's something of a familiar face among the seniors in her town."
,,,,Oguri Cap,Tomoyo Takayanagi,"I'm going to win this for the folks back home... But first, sustenance.",Mar 27,167cm,Slight increase (overate),"Originally hailing from the countryside, she enrolled in Tracen Academy after dominating the racing scene back home. She works hard to make her hometown proud, but try as she might, her clumsy side always comes out. At the academy, she's known as a fearsome gourmand, able to empty an entire pot of rice in the blink of an eye."
,,,,Rice Shower,Manaka Iwami,Rice only brings misfortune to everyone... I really... really hope I can change that!,Mar 5,145cm,No change,"A timid Umamusume, she is under the impression that any misfortune befalling those around her is entirely her fault, when really, it's just bad timing. Nevertheless, she is determined to eradicate this supposed jinx of hers. She loves reading picture books in her spare time, especially ""The Blue Rose of Good Fortune."""
,,,,Sakura Bakushin O,Sachika Misawa,"Bakushin on one! Bakushin on two! Bakushin, bakushiiin!",Apr 14,158cm,No change,"A class representative who'll rush recklessly into any situation. Once her mind is set on something, she'll bakushin dash straight to her goal—often causing more chaos than she helps resolve. She never acts out of self-righteousness, however, and tends to feel downhearted if no one is asking for her assistance. Her aptitude for sprinting is quite overwhelming, and she is confident that she can outrun anyone with unmatched speed."
,,,,Silence Suzuka,Marika Kohno,I just want to see... that scenery from the lead.,May 1,161cm,No change,"An Umamusume seen as a prodigy who's always ahead of the pack, both figuratively and literally. She gets so absorbed with running that she comes off as aloof, but most know that she is dedicated. She is roommates with Special Week and many find themselves attracted to her authentic personality."
,,,,Special Week,Azumi Waki,I gotta make my moms proud!  I'll become the top Umamusume in all of Japan!,May 2,158cm,Slight decrease (pre-race nerves),"Born in Hokkaido, Special Week is a bright and cheery, hardworking Umamusume. After losing her birth mother, Special Week was raised by her mother's friend. Now, she hopes to make both her moms proud by fulfilling her promise of becoming Japan's top racer. Though she may falter along the way, her indomitable spirit ensures that she runs ever forward"
,,,,Super Creek,Kana Yuuki,"I can spoil you as much as you'd like. Aww, there, there. ♪",May 27,168cm,Slight increase (a secret as to why),"No matter how bad you were, this racer will forgive and comfort you before spoiling you rotten. Her tendency towards leniency sometimes extends to herself. She values the growth of others over even her own personal gains. She is rivals with both Oguri Cap and Tamamo Cross."
,,,,Symboli Rudolf,Azusa Tadokoro,Fortune smiles upon the brave. Let us create a world where all Umamusume can live in bliss.,Mar 13,165cm,Almost too perfect,"Well-versed in both the ways of racing and leadership through her work leading the student body,  she serves as the evenhanded president of the student council at Tracen Academy. She seeks to be a model Umamusume, and as such, is keenly aware of the example that she sets. Her dream is to foster a new era in which all Umamusume can live in true happiness. She is especially admired by Tokai Teio."
,,,,Taiki Shuttle,Yuka Otsubo,BANG! ☆ Who's ready for a round of sharpshootin'?!,Mar 23,172cm,Slight increase (but it's no problem!),"A cowgirl with a heart as big as her might. As friendly as they come, she's one heck of a hug machine. She tends to get lonely, however, so perhaps that's why she's one heck of a party planner too! Specializing in sprints, her powerful dash has even caught the eye of her friend, Silence Suzuka."
,,,,T.M. Opera O,Sora Tokui,"Haaah ha ha ha! I am the star of this play, and it shall be known the world over as a masterpiece!",Mar 13,156cm,Perfect as always! (self-proclaimed),"An opera queen who's so self-absorbed, it's comical. Her mannernisms are over-the-top, and you will often hear her proclaiming her greatness in some way or other. She truly believes that those who do not know their own beauty and strength are unhappy, and she works tirelessly every day to enlighten them. She is admired by Meisho Doto."
,,,,Tokai Teio,Machico,Here begins the legend of the invincible Teio!,Apr 20,150cm,No change,"A bright, bubbly Umamusume with a natural knack for racing. She's long looked up to the student council president, Symboli Rudolf, and this admiration serves as her ultimate motivation in becoming the number one racer. Fans can't get enough of Teio's boundless confidence, and have lovingly dubbed her upbeat march the ""Teio Step."""
,,,,Vodka,Ayaka Ohashi,I've just gotta be the coolest to ever do it!,Apr 4,165cm,No change,"Dedicated to being the coolest, this Umamusume tries her best to act like a delinquent. She takes after her motorcycle-loving father, emulating his hobbies and attitudes down to the letter. Her grandstanding nature sees her charge daringly into any challenge, never afraid of what she might face. She has a bit of a cat-and-dog relationship with her roommate, Daiwa Scarlet."
